Annuncio,Link,Marca,Modello,Modello_plus_info,Prezzo_scont,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,CV,Località
"BMW
116
116d Business Advantage auto",https://www.autoscout24.it/annunci/bmw-116-116d-business-advantage-auto-diesel-nero-ceaa8962-1883-49c9-9cd9-81d29f23d32f,BMW,116,116d Business Advantage auto,,€ 22.000,68.300 km,Semiautomatico,11/2022,Diesel,85 kW (116 CV),Manuele Car4You Srls • IT-03039 Sora
"BMW
118
d Msport auto",https://www.autoscout24.it/annunci/bmw-118-d-msport-auto-diesel-5d178d8e-0e96-4166-b4f6-70a3a1be105c,BMW,118,d Msport auto,,€ 28.000,8.667 km,Automatico,04/2024,Diesel,110 kW (150 CV),BYmyCAR Sedi: MILANO - SAN DONATO M.SE BYmyCAR Sedi: MILANO - SAN DONATO M.SE • IT-20142 Milano - Mi
,https://www.autoscout24.it/annunci/bmw-118-118i-5p-msport-virtual-benzina-grigio-c322c7ac-2bd0-4368-8c21-aba9a86df243,BMW,118,118i 5p. Msport Virtual,,,,,,,,Automobile Torino • IT-10034 Chivasso - Torino
"BMW
120
120i 5p. Msport",https://www.autoscout24.it/annunci/bmw-120-120i-5p-msport-benzina-bianco-c3826b5e-6d37-4f10-8a17-cd113b5424eb,BMW,120,120i 5p. Msport,,€ 28.590,56.765 km,Semiautomatico,11/2021,Benzina,131 kW (178 CV),Leonardo Davide • IT-21044 Cavaria - Varese - VA
"BMW
118
118d Msport",https://www.autoscout24.it/annunci/bmw-118-118d-msport-diesel-grigio-87b0fb3d-a2c8-43c9-b878-cea72d7fff92,BMW,118,118d Msport,,€ 27.499,50.596 km,Automatico,11/2022,Diesel,110 kW (150 CV),Centro di consegna • IT-37135 Verona - VR
"BMW
118
d Msport auto",https://www.autoscout24.it/annunci/bmw-118-d-msport-auto-diesel-grigio-6f421b8f-2b75-4b50-aa3d-394881c9e32a,BMW,118,d Msport auto,,€ 28.000,8.651 km,Automatico,04/2024,Diesel,110 kW (150 CV),BYmyCAR Sedi: MILANO - SAN DONATO M.SE BYmyCAR Sedi: MILANO - SAN DONATO M.SE • IT-20142 Milano - Mi
"BMW
116
116d Msport auto",https://www.autoscout24.it/annunci/bmw-116-116d-msport-auto-diesel-bianco-da8bb7f4-f01f-48b5-bda0-e2c4d15702c9,BMW,116,116d Msport auto,,€ 28.800,40.000 km,Automatico,05/2023,Diesel,85 kW (116 CV),A.D. Motor • IT-06129 Perugia - Pg
"BMW
118
118i 5p. Msport Auto.",https://www.autoscout24.it/annunci/bmw-118-118i-5p-msport-auto-benzina-blu-azzurro-12edb475-5c5c-4361-a1a6-1750f8bb2611,BMW,118,118i 5p. Msport Auto.,,€ 28.900,16.625 km,Automatico,01/2024,Benzina,100 kW (136 CV),Responsabile Usato Fassina • IT-20157 Milano - Mi
"BMW
116
d 5p. Msport NEOPATENTATI",https://www.autoscout24.it/annunci/bmw-116-d-5p-msport-neopatentati-diesel-nero-1fd795a9-feb5-4bfb-8e70-af7cb5bde318,BMW,116,d 5p. Msport  NEOPATENTATI,,€ 27.000,31.000 km,Automatico,09/2021,Diesel,85 kW (116 CV),Fausto • IT-40121 Bologna - BO
"BMW
118
d Msport auto",https://www.autoscout24.it/annunci/bmw-118-d-msport-auto-diesel-grigio-ed007c0f-f823-4223-94bf-d6016d6f3fc5,BMW,118,d Msport auto,,€ 30.000,1.664 km,Automatico,04/2024,Diesel,110 kW (150 CV),BYmyCAR Sedi: MILANO - SAN DONATO M.SE BYmyCAR Sedi: MILANO - SAN DONATO M.SE • IT-20142 Milano - Mi
"BMW
120
120i 5p. Msport",https://www.autoscout24.it/annunci/bmw-120-120i-5p-msport-benzina-blu-azzurro-2b8d58b6-cc9e-445d-880d-718559e88e5b,BMW,120,120i 5p. Msport,,€ 29.490,21.013 km,Semiautomatico,03/2021,Benzina,131 kW (178 CV),Leonardo Davide • IT-21044 Cavaria - Varese - VA
"BMW
120
d Msport auto",https://www.autoscout24.it/annunci/bmw-120-d-msport-auto-diesel-grigio-61fcb5e9-111b-42a1-bd4d-6913bb90753a,BMW,120,d Msport auto,,€ 29.500,53.300 km,Automatico,03/2021,Diesel,140 kW (190 CV),Vladimiro Zanellati • IT-45100 Rovigo - Ro
"BMW
118
Serie 1 F70 118d MSport Pro auto",https://www.autoscout24.it/annunci/bmw-118-serie-1-f70-118d-msport-pro-auto-diesel-grigio-a053ef82-c694-4214-9533-79f0a66bf69b,BMW,118,Serie 1 F70 118d MSport Pro auto,,€ 33.900,8.000 km,Automatico,10/2024,Diesel,110 kW (150 CV),
"BMW
135
M 135i xdrive auto SEDILI SPORTIVI ALCANTARA",https://www.autoscout24.it/annunci/bmw-135-m-135i-xdrive-auto-sedili-sportivi-alcantara-benzina-blu-azzurro-ea047e48-edf3-40f4-8376-d5681a98f1e3,BMW,135,M 135i xdrive auto SEDILI SPORTIVI ALCANTARA,,€ 32.900,33.000 km,Semiautomatico,08/2020,Benzina,225 kW (306 CV),
"BMW
120
120i Msport Design auto KM0",https://www.autoscout24.it/annunci/bmw-120-120i-msport-design-auto-km0-benzina-bianco-7046ae32-d93b-493f-90c5-88fd65bc7585,BMW,120,120i Msport Design auto KM0,,€ 32.900,1 km,Automatico,02/2025,Benzina,125 kW (170 CV),
"BMW
128
128ti auto 128 TI VARI COLORI DISPONIBILI",https://www.autoscout24.it/annunci/bmw-128-128ti-auto-128-ti-vari-colori-disponibili-benzina-blu-azzurro-45fa38c9-8dfb-4235-8285-224ad71e711f,BMW,128,128ti auto 128 TI VARI COLORI DISPONIBILI,,€ 32.900,19.500 km,Automatico,12/2022,Benzina,195 kW (265 CV),
"BMW
135
M 135i xDrive",https://www.autoscout24.it/annunci/bmw-135-m-135i-xdrive-benzina-nero-7b1f9c2f-76b0-4133-84db-ac4bca470ecd,BMW,135,M 135i xDrive,,€ 34.900,16.000 km,Automatico,12/2022,Benzina,225 kW (306 CV),
"BMW
118
Serie 1 F40 118d Msport auto",https://www.autoscout24.it/annunci/bmw-118-serie-1-f40-118d-msport-auto-diesel-nero-f089a042-ef88-4d4c-897a-ce766801c7a6,BMW,118,Serie 1 F40 118d Msport auto,,€ 30.900,17.200 km,Automatico,01/2024,Diesel,110 kW (150 CV),
"BMW
120
120i Msport Design auto KM0",https://www.autoscout24.it/annunci/bmw-120-120i-msport-design-auto-km0-benzina-bianco-24d1038f-fe26-407d-b2ca-0c7b57aacbd6,BMW,120,120i Msport Design auto KM0,,,1 km,Automatico,02/2025,Benzina,125 kW (170 CV),
"BMW
118
Serie 1 F70 118d MSport Pro auto",https://www.autoscout24.it/annunci/bmw-118-serie-1-f70-118d-msport-pro-auto-diesel-grigio-c596f8ae-6145-46e3-bb44-13d982d3c494,BMW,118,Serie 1 F70 118d MSport Pro auto,,€ 33.900,8.000 km,Automatico,10/2024,Diesel,110 kW (150 CV),
"BMW
118
i 5p. Msport M sport +TETTO+SEDILI GUSCIO+19""+",https://www.autoscout24.it/annunci/bmw-118-i-5p-msport-m-sport-tetto-sedili-guscio-19-benzina-nero-caa1743d-10ab-4f89-a91b-01a90202314b,BMW,118,"i 5p. Msport M sport +TETTO+SEDILI GUSCIO+19""+",,€ 33.990,17.800 km,Automatico,03/2024,Benzina,100 kW (136 CV),
,https://www.autoscout24.it/annunci/bmw-128-benzina-nero-7bb780de-592f-40a2-8be9-ff1e5993ed3b,BMW,128,,,€ 32.900,,,,,,
"BMW
135
Serie 1 M 135i xdrive UFFICIALE BMW HARMAN-HANDUP",https://www.autoscout24.it/annunci/bmw-135-serie-1-m-135i-xdrive-ufficiale-bmw-harman-handup-benzina-bianco-30801674-23eb-480b-82ef-e060e9715c03,BMW,135,Serie 1 M 135i xdrive UFFICIALE BMW HARMAN-HANDUP,,€ 30.990,40.000 km,Automatico,10/2020,Benzina,225 kW (306 CV),
"BMW
118
118d Msport M sport Pro + cerchi 19/tetto apribile",https://www.autoscout24.it/annunci/bmw-118-118d-msport-m-sport-pro-cerchi-19-tetto-apribile-diesel-nero-7f8c8fd6-e676-4977-bf0a-bcddcd9db9d6,BMW,118,118d Msport M sport Pro + cerchi 19/tetto apribile,,€ 37.990,10.000 km,Automatico,05/2024,Diesel,110 kW (150 CV),
"BMW
118
118i 5p. Msport DOPPIO KIT CERCHI E GOMME",https://www.autoscout24.it/annunci/bmw-118-118i-5p-msport-doppio-kit-cerchi-e-gomme-benzina-grigio-c992bc3a-3e4e-4111-b29d-fb68b54123d0,BMW,118,118i 5p. Msport DOPPIO KIT CERCHI E GOMME,,€ 31.900,15.259 km,Automatico,02/2024,Benzina,100 kW (136 CV),
"BMW
128
128ti auto",https://www.autoscout24.it/annunci/bmw-128-128ti-auto-benzina-nero-9a767b26-0483-4e2a-bbd3-2908836d3b2c,BMW,128,128ti auto,,€ 37.500,54.100 km,Semiautomatico,12/2022,Benzina,195 kW (265 CV),
"BMW
118
118d Msport auto pinze rosse",https://www.autoscout24.it/annunci/bmw-118-118d-msport-auto-pinze-rosse-diesel-grigio-fb0adb1d-18c6-4409-8658-1d370c82a252,BMW,118,118d Msport auto pinze rosse,,€ 30.800,35.000 km,Automatico,09/2023,Diesel,110 kW (150 CV),
"BMW
120
d xDrive 5p. Msport GUSCI-BLACK PACK-19""",https://www.autoscout24.it/annunci/bmw-120-d-xdrive-5p-msport-gusci-black-pack-19-diesel-grigio-82484c1a-56d5-4cb9-bc83-ad339c14a594,BMW,120,"d xDrive 5p. Msport GUSCI-BLACK PACK-19""",,€ 33.990,30.900 km,Automatico,09/2020,Diesel,140 kW (190 CV),
"BMW
118
d M Sport *NUOVO MODELLO*PREZZO REALE*",https://www.autoscout24.it/annunci/bmw-118-d-m-sport-nuovo-modello-prezzo-reale-diesel-grigio-394ff5e1-dfcf-4796-892d-da4607066d8f,BMW,118,d M Sport *NUOVO MODELLO*PREZZO REALE*,,€ 34.990,6.693 km,Automatico,10/2024,Diesel,110 kW (150 CV),
"BMW
120
d xDrive 5p. Msport SEDILI A GUSCIO ELETTRICI",https://www.autoscout24.it/annunci/bmw-120-d-xdrive-5p-msport-sedili-a-guscio-elettrici-diesel-nero-1c30cc44-6858-4553-b3df-ffc04815581e,BMW,120,d xDrive 5p. Msport SEDILI A GUSCIO ELETTRICI,,€ 30.990,51.174 km,Automatico,09/2020,Diesel,140 kW (190 CV),
"BMW
118
Serie 1 F40 118d Msport auto",https://www.autoscout24.it/annunci/bmw-118-serie-1-f40-118d-msport-auto-diesel-grigio-211e7ade-8c28-4644-9b8f-e359adae7a09,BMW,118,Serie 1 F40 118d Msport auto,,€ 30.499,52.000 km,Automatico,10/2022,Diesel,110 kW (150 CV),
"BMW
120
120i 5p. Msport VIRTUAL",https://www.autoscout24.it/annunci/bmw-120-120i-5p-msport-virtual-benzina-bianco-aad9432a-b73b-4139-bf2d-13f77d3b85be,BMW,120,120i 5p. Msport VIRTUAL,,€ 30.900,17.000 km,Automatico,12/2023,Benzina,131 kW (178 CV),
"BMW
120
d xDrive 5p. Msport GUSCI-FRENI M SPORT-HARMAN",https://www.autoscout24.it/annunci/bmw-120-d-xdrive-5p-msport-gusci-freni-m-sport-harman-diesel-blu-azzurro-5afa520e-b234-4805-86a4-881859c9cbfd,BMW,120,d xDrive 5p. Msport GUSCI-FRENI M SPORT-HARMAN,,€ 33.990,54.646 km,Automatico,10/2020,Diesel,140 kW (190 CV),
"BMW
130
128ti 5p. Msport Virtual",https://www.autoscout24.it/annunci/bmw-130-128ti-5p-msport-virtual-benzina-nero-31e55990-4601-4ca5-a1cf-0419f513d7a2,BMW,130,128ti 5p. Msport Virtual,,€ 33.900,25.000 km,Automatico,08/2022,Benzina,195 kW (265 CV),
"BMW
118
d MSport Pro solo 7.617 km!!!!! cerchi 18 pinze r",https://www.autoscout24.it/annunci/bmw-118-d-msport-pro-solo-7-617-km-cerchi-18-pinze-r-diesel-grigio-032120f6-76a1-4971-b354-5df8726a3378,BMW,118,d MSport Pro solo 7.617 km!!!!! cerchi 18 pinze r,,€ 36.800,7.617 km,Automatico,10/2024,Diesel,110 kW (150 CV),
"BMW
135
m 135i xdrive auto",https://www.autoscout24.it/annunci/bmw-135-m-135i-xdrive-auto-benzina-7142b88c-02a0-474a-9a7e-890284a1935a,BMW,135,m 135i xdrive auto,,€ 35.800,64.950 km,Automatico,10/2021,Benzina,225 kW (306 CV),
"BMW
118
118d 5p. M Sport - PROMO SIRONIAUTO+",https://www.autoscout24.it/annunci/bmw-118-118d-5p-m-sport-promo-sironiauto-diesel-grigio-87ae48f7-86cb-4837-9a8a-8ffbf8ebf55c,BMW,118,118d 5p. M Sport - PROMO SIRONIAUTO+,,€ 31.900,11.703 km,Automatico,05/2024,Diesel,110 kW (150 CV),
"BMW
135
M 135i xdrive auto",https://www.autoscout24.it/annunci/bmw-135-m-135i-xdrive-auto-benzina-bianco-9166217d-b621-4f40-9228-660fcedbf9c3,BMW,135,M 135i xdrive auto,,€ 33.000,54.000 km,Semiautomatico,02/2022,Benzina,225 kW (306 CV),
"BMW
118
i 5p. Msport M sport +TETTO+SEDILI GUSCIO+19""+",https://www.autoscout24.it/annunci/bmw-118-i-5p-msport-m-sport-tetto-sedili-guscio-19-benzina-grigio-15cc456a-a856-430e-bff3-3bbfd63fde53,BMW,118,"i 5p. Msport M sport +TETTO+SEDILI GUSCIO+19""+",,€ 33.990,20.100 km,Automatico,03/2024,Benzina,100 kW (136 CV),
,https://www.autoscout24.it/annunci/bmw-120-120i-5p-msport-virtual-benzina-grigio-63360f95-10ba-4185-9301-584004182eaa,BMW,120,120i 5p. Msport VIRTUAL,,€ 35.900,,,,,,
"BMW
120
120d Msport Exterior auto",https://www.autoscout24.it/annunci/bmw-120-120d-msport-exterior-auto-diesel-bianco-00be741e-3d2c-4b64-bfb3-e4cf201e6d07,BMW,120,120d Msport Exterior auto,,€ 35.500,32.000 km,Automatico,06/2024,Diesel,140 kW (190 CV),
"BMW
118
5-porte 118d Msport auto",https://www.autoscout24.it/annunci/bmw-118-5-porte-118d-msport-auto-diesel-grigio-1c5c3aed-aa41-4f04-983d-893127070eff,BMW,118,5-porte 118d Msport auto,,,16.538 km,Automatico,03/2024,Diesel,110 kW (150 CV),
"BMW
120
120d xdrive Msport auto",https://www.autoscout24.it/annunci/bmw-120-120d-xdrive-msport-auto-diesel-grigio-c4629c34-c4f9-408d-a7cd-e08e61a82aea,BMW,120,120d xdrive Msport auto,,€ 35.000,27.600 km,Semiautomatico,04/2024,Diesel,140 kW (190 CV),
"BMW
118
d Msport",https://www.autoscout24.it/annunci/bmw-118-d-msport-diesel-nero-e99f20fd-d49c-4019-9a78-d0070be9099d,BMW,118,d Msport,,€ 32.500,34.090 km,Automatico,01/2024,Diesel,110 kW (150 CV),
"BMW
118
d MSport Pro auto",https://www.autoscout24.it/annunci/bmw-118-d-msport-pro-auto-diesel-bianco-6ff5f732-816e-4bba-87d2-bbf373945723,BMW,118,d MSport Pro auto,,€ 37.500,4.997 km,Automatico,02/2025,Diesel,110 kW (150 CV),
"BMW
118
Serie 1 F40 118d Msport auto",https://www.autoscout24.it/annunci/bmw-118-serie-1-f40-118d-msport-auto-diesel-grigio-fb73831c-8452-4554-8be1-603ba65602d2,BMW,118,Serie 1 F40 118d Msport auto,,€ 30.900,16.000 km,Automatico,01/2024,Diesel,110 kW (150 CV),
"BMW
118
(F40) 118d 5p. Msport",https://www.autoscout24.it/annunci/bmw-118-f40-118d-5p-msport-diesel-nero-3730733d-26c5-40c3-8e1a-7ccd0c811295,BMW,118,(F40) 118d 5p. Msport,,€ 30.500,16.664 km,Automatico,02/2024,Diesel,110 kW (150 CV),
"BMW
128
128ti msport",https://www.autoscout24.it/annunci/bmw-128-128ti-msport-benzina-blu-azzurro-61d51e72-b03f-41a1-8c4f-d6f16952fb0d,BMW,128,128ti msport,,€ 35.800,37.000 km,Semiautomatico,03/2022,Benzina,195 kW (265 CV),
"BMW
116
116d Msport auto",https://www.autoscout24.it/annunci/bmw-116-116d-msport-auto-diesel-grigio-8863f2e7-f5bb-4543-beae-10995837e43c,BMW,116,116d Msport auto,,€ 32.000,37.563 km,Automatico,01/2022,Diesel,85 kW (116 CV),
"BMW
118
d 5p. Msport m sport SEDILI RISCALDATI",https://www.autoscout24.it/annunci/bmw-118-d-5p-msport-m-sport-sedili-riscaldati-diesel-blu-azzurro-4199b6ab-6fcd-4843-8aad-d9b89308b097,BMW,118,d 5p. Msport  m sport SEDILI RISCALDATI,,€ 33.900,15.900 km,Automatico,03/2024,Diesel,110 kW (150 CV),
"BMW
118
d 5 Porte * KM 0, SERVICE INCLUSIVE 5ANNI/100.000*",https://www.autoscout24.it/annunci/bmw-118-d-5-porte-km-0-service-inclusive-5anni-100-000-diesel-nero-a5ccdd72-897b-4fab-98d1-aab0e3120e57,BMW,118,"d 5 Porte * KM 0, SERVICE INCLUSIVE 5ANNI/100.000*",,€ 33.900,49 km,Automatico,05/2025,Diesel,110 kW (150 CV),
"BMW
135
M 135i xdrive auto",https://www.autoscout24.it/annunci/bmw-135-m-135i-xdrive-auto-benzina-nero-19bcc9ca-3da8-4ae1-afdf-3e740e55926d,BMW,135,M 135i xdrive auto,,€ 31.900,66.300 km,Automatico,05/2020,Benzina,225 kW (306 CV),
"BMW
135
M i xdrive auto",https://www.autoscout24.it/annunci/bmw-135-m-i-xdrive-auto-benzina-nero-44813f0c-125d-4c31-bcb4-49b381e351e7,BMW,135,M i xdrive auto,,€ 34.900,58.109 km,Automatico,12/2021,Benzina,225 kW (306 CV),
"BMW
120
i Msport pro (F70) PRONTA CONSEGNA",https://www.autoscout24.it/annunci/bmw-120-i-msport-pro-f70-pronta-consegna-benzina-bianco-c9b98505-294c-41b1-bd84-04ed3dff8d9e,BMW,120,i Msport pro (F70)  PRONTA  CONSEGNA,,€ 39.300,7.100 km,Automatico,09/2024,Benzina,115 kW (156 CV),
"BMW
135
M 135i xdrive auto IVA ESPOSTA",https://www.autoscout24.it/annunci/bmw-135-m-135i-xdrive-auto-iva-esposta-benzina-grigio-932f8533-e27d-408c-a2fe-ea15bfb647f4,BMW,135,M 135i xdrive auto IVA ESPOSTA,,€ 37.500,39.000 km,Semiautomatico,01/2021,Benzina,225 kW (306 CV),
"BMW
120
i Msport auto",https://www.autoscout24.it/annunci/bmw-120-i-msport-auto-benzina-nero-4a8be33f-5eb4-43d7-8553-51331ab1b662,BMW,120,i Msport auto,,,15.255 km,Automatico,03/2024,Benzina,131 kW (178 CV),
"BMW
120
d 48V MSPORT CAMBIO AUTO,CERCHI 18,FARI LED",https://www.autoscout24.it/annunci/bmw-120-d-48v-msport-cambio-auto-cerchi-18-fari-led-elettrica-diesel-nero-bec01595-117e-46c8-a448-3ad2c9bff63e,BMW,120,"d 48V MSPORT CAMBIO AUTO,CERCHI 18,FARI LED",,€ 39.500,4.000 km,Automatico,10/2024,Elettrica/Diesel,110 kW (150 CV),
"BMW
128
128ti auto",https://www.autoscout24.it/annunci/bmw-128-128ti-auto-benzina-blu-azzurro-76cd02d8-d0f4-4832-a1db-719ae7405a7d,BMW,128,128ti auto,,€ 37.500,27.000 km,Semiautomatico,08/2022,Benzina,195 kW (265 CV),
,https://www.autoscout24.it/annunci/bmw-118-d-msport-diesel-bianco-1aa14836-e0a7-4022-adc3-f294efb99f20,BMW,118,d Msport,,€ 31.900,,,,,,
"BMW
118
118d 5p. Msport",https://www.autoscout24.it/annunci/bmw-118-118d-5p-msport-diesel-bianco-3016f6fe-1362-49b7-ac64-6385b0d82585,BMW,118,118d 5p. Msport,,€ 31.900,17.918 km,Automatico,05/2024,Diesel,110 kW (150 CV),
"BMW
118
118d 5p. Msport",https://www.autoscout24.it/annunci/bmw-118-118d-5p-msport-diesel-bianco-964b6160-a2ae-4efd-bd16-2888e4a35dfd,BMW,118,118d 5p. Msport,,€ 31.900,17.918 km,Automatico,05/2024,Diesel,110 kW (150 CV),
"BMW
120
48V MSport Pro auto",https://www.autoscout24.it/annunci/bmw-120-48v-msport-pro-auto-elettrica-benzina-nero-d6cb9edd-5173-4aad-84f7-99acc531ac47,BMW,120,48V MSport Pro auto,,€ 39.900,15.800 km,Automatico,09/2024,Elettrica/Benzina,125 kW (170 CV),
"BMW
135
M 135i xdrive BITURBO 306 CV!!",https://www.autoscout24.it/annunci/bmw-135-m-135i-xdrive-biturbo-306-cv-benzina-grigio-68de70d7-2a60-4a20-b533-991b7daa60e6,BMW,135,M 135i xdrive BITURBO 306 CV!!,,€ 33.790,41.782 km,Automatico,04/2021,Benzina,225 kW (306 CV),
"BMW
118
d Msport",https://www.autoscout24.it/annunci/bmw-118-d-msport-diesel-bianco-0c8699f1-babd-41b7-8421-9465456bf9a8,BMW,118,d Msport,,€ 33.000,25.260 km,Automatico,02/2024,Diesel,110 kW (150 CV),
"BMW
120
120d xdrive Msport auto",https://www.autoscout24.it/annunci/bmw-120-120d-xdrive-msport-auto-diesel-grigio-b57d3763-9e5a-467e-a903-342ada8a6a9f,BMW,120,120d xdrive Msport auto,,€ 32.900,22.347 km,Automatico,03/2024,Diesel,140 kW (190 CV),
"BMW
135
M 135i xdrive auto",https://www.autoscout24.it/annunci/bmw-135-m-135i-xdrive-auto-benzina-bianco-497532b2-ed3a-49b8-b529-e54c335348c0,BMW,135,M 135i xdrive auto,,€ 33.000,51.000 km,Automatico,06/2021,Benzina,225 kW (306 CV),
"BMW
116
NUOVA SERIE 1 (F70) 116I DCT 150CV MY’ 25",https://www.autoscout24.it/annunci/bmw-116-nuova-serie-1-f70-116i-dct-150cv-my-25-benzina-nero-8790e71e-3731-494d-b8c7-2db1e4600aff,BMW,116,NUOVA SERIE 1 (F70) 116I DCT 150CV MY’ 25,,€ 31.400,1 km,Automatico,07/2025,Benzina,90 kW (122 CV),
"BMW
118
i 5p. Msport aut. #PackBlack",https://www.autoscout24.it/annunci/bmw-118-i-5p-msport-aut-packblack-benzina-nero-ad8f0ec0-2d1f-4e55-a045-0d8bab0d5688,BMW,118,i 5p. Msport aut. #PackBlack,,€ 30.800,13.150 km,Automatico,04/2024,Benzina,103 kW (140 CV),
"BMW
118
118d Msport auto",https://www.autoscout24.it/annunci/bmw-118-118d-msport-auto-diesel-grigio-1de7b17c-3277-4880-958b-82b684f4ef74,BMW,118,118d Msport auto,,,14.101 km,Automatico,05/2024,Diesel,110 kW (150 CV),
"BMW
118
118d Msport auto",https://www.autoscout24.it/annunci/bmw-118-118d-msport-auto-diesel-nero-494ee8d1-b356-4f59-b61e-ab1f82ee15e2,BMW,118,118d Msport auto,,,14.196 km,Automatico,04/2024,Diesel,110 kW (150 CV),
"BMW
118
d MSport auto",https://www.autoscout24.it/annunci/bmw-118-d-msport-auto-diesel-bianco-3fa5c709-8c44-443f-b586-d1ed15d4975c,BMW,118,d MSport auto,,€ 35.000,100 km,Automatico,01/2025,Diesel,110 kW (150 CV),
"BMW
120
120i Msport auto",https://www.autoscout24.it/annunci/bmw-120-120i-msport-auto-benzina-rosso-f5aa534e-8c8e-41e6-bcd9-70792f5e0893,BMW,120,120i Msport auto,,€ 30.000,12.500 km,Automatico,07/2021,Benzina,131 kW (178 CV),
"BMW
135
Msport 135i xdrive auto",https://www.autoscout24.it/annunci/bmw-135-msport-135i-xdrive-auto-benzina-47bd8d0c-c6f6-43a1-887a-ec44d8299053,BMW,135,Msport 135i xdrive auto,,€ 32.500,47.866 km,Automatico,06/2020,Benzina,225 kW (306 CV),
"BMW
128
TI MSport",https://www.autoscout24.it/annunci/bmw-128-ti-msport-benzina-grigio-a8c67eb9-a16b-4b47-8530-e4960b38f9e1,BMW,128,TI MSport,,€ 30.900,49.900 km,Automatico,03/2021,Benzina,195 kW (265 CV),
"BMW
120
i 5p. Msport",https://www.autoscout24.it/annunci/bmw-120-i-5p-msport-benzina-nero-b5804cab-9d86-4d96-83ee-70481025e924,BMW,120,i 5p. Msport,,€ 32.950,43.700 km,Automatico,05/2022,Benzina,131 kW (178 CV),
"BMW
135
M 135i 5p xdrive E6",https://www.autoscout24.it/annunci/bmw-135-m-135i-5p-xdrive-e6-benzina-bianco-937a6a24-adb0-46c9-a15f-de8eb4ad5690,BMW,135,M 135i 5p xdrive E6,,€ 32.600,39.000 km,Automatico,08/2021,Benzina,225 kW (306 CV),
"BMW
120
120 5p. MSport Nuovo Modello Navi DAB Park Assist",https://www.autoscout24.it/annunci/bmw-120-120-5p-msport-nuovo-modello-navi-dab-park-assist-elettrica-benzina-blu-azzurro-6c07e115-4370-496e-94af-1e0264e6ac36,BMW,120,120 5p. MSport Nuovo Modello Navi DAB Park Assist,,€ 34.000,10.700 km,Automatico,11/2024,Elettrica/Benzina,125 kW (170 CV),
,https://www.autoscout24.it/annunci/bmw-135-m-135i-xdrive-auto-benzina-grigio-b857f4fc-bda3-45ab-85e6-d6663335a45d,BMW,135,M 135i xdrive auto,,€ 35.490,,,,,,
"BMW
135
i xDrive",https://www.autoscout24.it/annunci/bmw-135-i-xdrive-benzina-grigio-af01d240-7bb4-46d7-97f8-961692a48001,BMW,135,i xDrive,,€ 33.990,57.900 km,Automatico,10/2021,Benzina,225 kW (306 CV),
"BMW
118
118d 5p. Msport Exterior",https://www.autoscout24.it/annunci/bmw-118-118d-5p-msport-exterior-diesel-nero-db35c8f1-316e-4839-a224-0d9bffb57e04,BMW,118,118d 5p. Msport Exterior,,€ 30.999,42.000 km,Automatico,04/2023,Diesel,110 kW (150 CV),
"BMW
128
TI 19"" ANDROID AUTO CRUISE ADATTIVO PERK CONTROL",https://www.autoscout24.it/annunci/bmw-128-ti-19-android-auto-cruise-adattivo-perk-control-benzina-nero-f0de5861-bb78-4532-90ad-9f2db4e7c2f0,BMW,128,"TI 19"" ANDROID AUTO CRUISE ADATTIVO PERK CONTROL",,€ 30.500,45.000 km,Automatico,11/2021,Benzina,195 kW (265 CV),
"BMW
120
d 5p. Msport",https://www.autoscout24.it/annunci/bmw-120-d-5p-msport-diesel-bianco-e9f08ee8-eabe-45b3-9f37-6fe002732f91,BMW,120,d 5p. Msport,,€ 32.950,41.999 km,Automatico,12/2022,Diesel,140 kW (190 CV),
"BMW
120
pacchetto M X-DRIVE",https://www.autoscout24.it/annunci/bmw-120-pacchetto-m-x-drive-diesel-grigio-b4c53c1f-1179-47a3-85e0-40692eee1e47,BMW,120,pacchetto M X-DRIVE,,€ 32.000,39.900 km,Automatico,06/2022,Diesel,140 kW (190 CV),
"BMW
118
d MSPORT - NUOVO MODELLO",https://www.autoscout24.it/annunci/bmw-118-d-msport-nuovo-modello-diesel-nero-c07075b2-5609-4eda-96b2-5fe75f0205e3,BMW,118,d MSPORT - NUOVO MODELLO,,€ 34.800,9.500 km,Automatico,01/2025,Diesel,110 kW (150 CV),
"BMW
118
118d MSport auto NUOVO MODELLO 18"" ACC PREMIUMPACK",https://www.autoscout24.it/annunci/bmw-118-118d-msport-auto-nuovo-modello-18-acc-premiumpack-diesel-grigio-ea9a232f-4c47-46b8-8d2f-4ccf663dfa17,BMW,118,"118d MSport auto NUOVO MODELLO 18"" ACC PREMIUMPACK",,€ 34.990,5.000 km,Automatico,02/2025,Diesel,110 kW (150 CV),
"BMW
116
i M-Sport DCT Restyling MY 25 IN SEDE-PREZZO REALE",https://www.autoscout24.it/annunci/bmw-116-i-m-sport-dct-restyling-my-25-in-sede-prezzo-reale-benzina-bianco-358d8147-d99e-4add-b16d-7d48a0bc32fc,BMW,116,i M-Sport DCT Restyling MY 25 IN SEDE-PREZZO REALE,,€ 33.490,19 km,Automatico,- (Anno),Benzina,90 kW (122 CV),
