Annuncio,Modello,Link,Link2,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,Tipologia,CV,Località,Venditore
Mercedes-Benz Classe A - d 5p. Msport Aut.,"BMW Serie 1 118d
d 5p. Msport Aut.",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2024-2f75b1cf64defec3?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D21,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2024-2f75b1cf64defec3?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D21,"38.900 €
    
    
    

- 6% 36.900 €",5.643 km ,Aut. ,"Ott, 2024",Diesel,Usata,110kW (150CV) ,,
Mercedes-Benz Classe A - d 5p. Msport,"BMW Serie 1 118d
d 5p. Msport",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2021-54c41d901c82f170?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D21,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2021-54c41d901c82f170?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D21, 33.200 €,62.471 km ,Aut. 6 marce ,"Mag, 2021",Diesel,Usata,110kW (150CV) ,,
Mercedes-Benz Classe A - 116d 5p. Advantage,"BMW Serie 1 116d
116d 5p. Advantage",https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2020-c0ea912b7b5d78cf?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D21,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2020-c0ea912b7b5d78cf?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D21, 20.500 €,114.600 km ,Man. 6 marce ,"Mag, 2020",Diesel,Usata,85kW (116CV) ,,
Mercedes-Benz Classe A - 116d 5 porte,"BMW Serie 1 116d
116d 5 porte",https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2024-e8d0ebe27d2ff541?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D21,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2024-e8d0ebe27d2ff541?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D21,"33.500 €
    
    
    

- 2% 33.000 €",24.500 km ,Aut. 6 marce ,"Apr, 2024",Diesel,Usata,85kW (116CV) ,,
Mercedes-Benz Classe A - d 5p. M Sport,"BMW Serie 1 M
d 5p. M Sport",https://autosupermarket.it/annunci/bmw-serie-1-m-benzina-2021-4b45ade4568d1809?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22,https://autosupermarket.it/annunci/bmw-serie-1-m-benzina-2021-4b45ade4568d1809?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22, 25.980 €,79.494 km ,Aut. ,"Gen, 2021",Benzina,Usata,,,
Mercedes-Benz Classe A -  - 116d 5p. msport,BMW Serie 1 116d  - 116d 5p. msport,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2021-d0017ceb05aa7c98?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2021-d0017ceb05aa7c98?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22, 25.900 €,81.420 km ,Aut. 6 marce ,"Set, 2021",Diesel,Usata,85kW (116CV) ,,
Mercedes-Benz Classe A - Serie 1 116i msport,"BMW Serie 1 116i
Serie 1 116i msport",https://autosupermarket.it/annunci/bmw-serie-1-116i-benzina-2024-447942e6f45dfef2?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22,https://autosupermarket.it/annunci/bmw-serie-1-116i-benzina-2024-447942e6f45dfef2?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22, 28.200 €,11.872 km ,Man. ,"Feb, 2024",Benzina,Usata,80kW (109CV) ,,
Mercedes-Benz Classe A - d 5p. Msport UNICO PROPRIETARIO,"BMW Serie 1 118d
d 5p. Msport UNICO PROPRIETARIO",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2022-4d6d77584e30c9c0?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2022-4d6d77584e30c9c0?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22, 34.800 €,47.000 km ,Aut. 8 marce ,"Feb, 2022",Diesel,Usata,110kW (150CV) ,,
Mercedes-Benz Classe A - 118i 5p. Msport,"BMW Serie 1 118i
118i 5p. Msport",https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2022-cef207b3c7b89c7d?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22,https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2022-cef207b3c7b89c7d?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22, 31.900 €,23.000 km ,Aut. 7 marce ,"Lug, 2022",Benzina,Usata,100kW (136CV) ,,
Mercedes-Benz Classe A - d 5p. Advantage Navi,"BMW Serie 1 116d
d 5p. Advantage Navi",https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2021-4772e420af0a18c4?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2021-4772e420af0a18c4?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22, 22.900 €,55.216 km ,Man. 6 marce ,"Mag, 2021",Diesel,Usata,85kW (116CV) ,,
Mercedes-Benz Classe A - Serie 1 d M Sport auto,"BMW Serie 1 116i
Serie 1 d M Sport auto",https://autosupermarket.it/annunci/bmw-serie-1-116i-diesel-2021-3e124713978db55c?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22,https://autosupermarket.it/annunci/bmw-serie-1-116i-diesel-2021-3e124713978db55c?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22, 34.890 €,34.765 km ,Aut. 7 marce ,"Giu, 2021",Diesel,Usata,85kW (116CV) ,,
Mercedes-Benz Classe A - d 5p. Advantage Navi,"BMW Serie 1 116d
d 5p. Advantage Navi",https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2021-b2ed7725511e5473?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2021-b2ed7725511e5473?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22, 22.900 €,72.136 km ,Man. 6 marce ,"Mag, 2021",Diesel,Usata,85kW (116CV) ,,
Mercedes-Benz Classe A - 116d 5 porte,"BMW Serie 1 116d
116d 5 porte",https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2024-e8d0ebe27d2ff541?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2024-e8d0ebe27d2ff541?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22,"33.500 €
    
    
    

- 2% 33.000 €",24.500 km ,Aut. 6 marce ,"Apr, 2024",Diesel,Usata,85kW (116CV) ,,
Mercedes-Benz Classe A - 118d 5p. Sport,"BMW Serie 1 118d
118d 5p. Sport",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2021-1f3dab6f65a4d460?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2021-1f3dab6f65a4d460?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22, 23.400 €,80.000 km ,Aut. 8 marce ,"Giu, 2021",Diesel,Usata,110kW (150CV) ,,
Mercedes-Benz Classe A - d 48V 5p. MSport,"BMW Serie 1 M
d 48V 5p. MSport",https://autosupermarket.it/annunci/bmw-serie-1-m-benzina-2024-5590e9aa44805117?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22,https://autosupermarket.it/annunci/bmw-serie-1-m-benzina-2024-5590e9aa44805117?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22, 45.900 €,2.600 km ,Aut. ,"Ago, 2024",Benzina,Usata,,,
Mercedes-Benz Classe A -  - 120d xdrive msport auto,BMW Serie 1 120d  - 120d xdrive msport auto,https://autosupermarket.it/annunci/bmw-serie-1-120d-diesel-2020-d83c69e07aa2a45c?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22,https://autosupermarket.it/annunci/bmw-serie-1-120d-diesel-2020-d83c69e07aa2a45c?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22, 27.800 €,70.107 km ,Aut. ,"Set, 2020",Diesel,Usata,140kW (191CV) ,,
Mercedes-Benz Classe A - d 5p. M Sport,"BMW Serie 1 M
d 5p. M Sport",https://autosupermarket.it/annunci/bmw-serie-1-m-benzina-2024-3a5a1aad48209f0a?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22,https://autosupermarket.it/annunci/bmw-serie-1-m-benzina-2024-3a5a1aad48209f0a?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22, 31.950 €,18.627 km ,Aut. ,"Gen, 2024",Benzina,Usata,,,
Mercedes-Benz Classe A - d 5p. Msport,"BMW Serie 1 118d
d 5p. Msport",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2024-10d0a4f2e23755b0?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2024-10d0a4f2e23755b0?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22, 30.800 €,11.690 km ,Aut. 8 marce ,"Mag, 2024",Diesel,Usata,110kW (150CV) ,,
Mercedes-Benz Classe A -  - 118d msport,BMW Serie 1 118d  - 118d msport,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2024-77e1768663c46eba?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2024-77e1768663c46eba?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22, 43.500 €,1.980 km ,Aut. 7 marce ,"Ott, 2024",Diesel,Usata,110kW (150CV) ,,
Mercedes-Benz Classe A - i 5p. Msport,"BMW Serie 1 M
i 5p. Msport",https://autosupermarket.it/annunci/bmw-serie-1-m-benzina-2022-6b2be0efa99642b0?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22,https://autosupermarket.it/annunci/bmw-serie-1-m-benzina-2022-6b2be0efa99642b0?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D22, 31.950 €,28.500 km ,Aut. 6 marce ,"Mag, 2022",Benzina,Usata,100kW (136CV) ,,
Mercedes-Benz Classe A - d 5p. M Sport,"BMW Serie 1 M
d 5p. M Sport",https://autosupermarket.it/annunci/bmw-serie-1-m-benzina-2024-bedc73d22d7ff18d?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23,https://autosupermarket.it/annunci/bmw-serie-1-m-benzina-2024-bedc73d22d7ff18d?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23, 34.500 €,10 km ,Aut. ,"Lug, 2024",Benzina,Nuova,,,
Mercedes-Benz Classe A - 48V 5p. MSport Pro,"BMW Serie 1 M
48V 5p. MSport Pro",https://autosupermarket.it/annunci/bmw-serie-1-m-benzina-2024-690e3502dc5cb619?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23,https://autosupermarket.it/annunci/bmw-serie-1-m-benzina-2024-690e3502dc5cb619?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23, 46.900 €,1.500 km ,Aut. ,"Set, 2024",Benzina,Usata,,,
Mercedes-Benz Classe A - i 5p. Msport M-sport /ACC/Pack Black,"BMW Serie 1 118i
i 5p. Msport M-sport /ACC/Pack Black",https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2024-da9d7304bfbfee0f?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23,https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2024-da9d7304bfbfee0f?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23, 31.900 €,12.390 km ,Aut. 7 marce ,"Mag, 2024",Benzina,Usata,100kW (136CV) ,,
Mercedes-Benz Classe A -  - 118d 5p. msport,BMW Serie 1 118d  - 118d 5p. msport,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2024-2bd46d8f1904d22c?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2024-2bd46d8f1904d22c?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23,"34.500 €
    
    
    

- 5% 33.000 €",25.260 km ,Aut. 6 marce ,"Feb, 2024",Diesel,Usata,110kW (150CV) ,,
Mercedes-Benz Classe A - d 5p. Msport,"BMW Serie 1 M
d 5p. Msport",https://autosupermarket.it/annunci/bmw-serie-1-m-diesel-2021-ed066f4bf94c6b54?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23,https://autosupermarket.it/annunci/bmw-serie-1-m-diesel-2021-ed066f4bf94c6b54?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23, 32.950 €,59.700 km ,Aut. 8 marce ,"Lug, 2021",Diesel,Usata,140kW (191CV) ,,
Mercedes-Benz Classe A - 120 d 48V MSport Pro DCT,"BMW Serie 1 120d
120 d 48V MSport Pro DCT",https://autosupermarket.it/annunci/bmw-serie-1-120d-ibrida-diesel-elettrico-2025-0bbcdbebf49ee1af?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23,https://autosupermarket.it/annunci/bmw-serie-1-120d-ibrida-diesel-elettrico-2025-0bbcdbebf49ee1af?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23,"53.080 €
    
    
    

- 26% 39.500 €",9.090 km ,Aut. 7 marce ,"Feb, 2025",Ibrida Diesel/Elettrico,Usata,120kW (164CV) ,,
Mercedes-Benz Classe A - 118i Executive Edition  M-Packet,BMW Serie 1 118i 118i Executive Edition  M-Packet,https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2021-dc5f40e122f0cdf0?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23,https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2021-dc5f40e122f0cdf0?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23, 25.999 €,45.980 km ,Aut. ,"Giu, 2021",Benzina,Usata,100kW (136CV) ,,
Mercedes-Benz Classe A -  - 116d 5p. msport,BMW Serie 1 116d  - 116d 5p. msport,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2021-78176641e77f22db?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2021-78176641e77f22db?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23,"25.000 €
    
    
    

- 2% 24.500 €",90.180 km ,Man. 6 marce ,"Apr, 2021",Diesel,Usata,85kW (116CV) ,,
Mercedes-Benz Classe A - 116d 5 porte,"BMW Serie 1 116d
116d 5 porte",https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2023-f2e0f5dfd6c6c29c?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2023-f2e0f5dfd6c6c29c?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23,"31.500 €
    
    
    

- 6% 29.900 €",33.500 km ,Aut. 6 marce ,"Set, 2023",Diesel,Usata,85kW (116CV) ,,
Mercedes-Benz Classe A - 120d Msport Pro auto/New Model,"BMW Serie 1 120d
120d Msport Pro auto/New Model",https://autosupermarket.it/annunci/bmw-serie-1-120d-ibrida-diesel-elettrico-2024-b39b3257773f969f?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23,https://autosupermarket.it/annunci/bmw-serie-1-120d-ibrida-diesel-elettrico-2024-b39b3257773f969f?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23, 42.500 €,2.800 km ,Aut. 8 marce ,"Nov, 2024",Ibrida Diesel/Elettrico,Usata,120kW (164CV) ,,
Mercedes-Benz Classe A - d 5p. Msport,"BMW Serie 1 118d
d 5p. Msport",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2020-bf40d69e82e461ee?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2020-bf40d69e82e461ee?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23, 33.800 €,45.000 km ,Aut. ,"Giu, 2020",Diesel,Usata,110kW (150CV) ,,
Mercedes-Benz Classe A -  - 120d xdrive msport exterior auto,BMW Serie 1 120d  - 120d xdrive msport exterior auto,https://autosupermarket.it/annunci/bmw-serie-1-120d-diesel-2022-072eb1b30191ecbb?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23,https://autosupermarket.it/annunci/bmw-serie-1-120d-diesel-2022-072eb1b30191ecbb?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23, 33.800 €,55.235 km ,Aut. ,"Gen, 2022",Diesel,Usata,140kW (191CV) ,,
Mercedes-Benz Classe A - d 5p. Msport,"BMW Serie 1 118d
d 5p. Msport",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2021-c173ca22966dea23?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2021-c173ca22966dea23?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23, 36.900 €,21.000 km ,Man. 6 marce ,"Mag, 2021",Diesel,Usata,110kW (150CV) ,,
Mercedes-Benz Classe A - d 5p. M Sport,"BMW Serie 1 M
d 5p. M Sport",https://autosupermarket.it/annunci/bmw-serie-1-m-benzina-2024-27915219dabe6e87?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23,https://autosupermarket.it/annunci/bmw-serie-1-m-benzina-2024-27915219dabe6e87?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23, 30.980 €,11.130 km ,Aut. ,"Apr, 2024",Benzina,Usata,,,
Mercedes-Benz Classe A - 48V 5p. MSport,"BMW Serie 1 M
48V 5p. MSport",https://autosupermarket.it/annunci/bmw-serie-1-m-benzina-2024-f772ae06203671c6?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23,https://autosupermarket.it/annunci/bmw-serie-1-m-benzina-2024-f772ae06203671c6?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23, 42.900 €,1.700 km ,Aut. ,"Ago, 2024",Benzina,Usata,,,
Mercedes-Benz Classe A - d 5p. M Sport,"BMW Serie 1 M
d 5p. M Sport",https://autosupermarket.it/annunci/bmw-serie-1-m-benzina-2024-e73c812c61012b9f?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23,https://autosupermarket.it/annunci/bmw-serie-1-m-benzina-2024-e73c812c61012b9f?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D23, 36.000 €,6.500 km ,Aut. ,"Lug, 2024",Benzina,Usata,,,
Mercedes-Benz Classe A - STUPENDA UNICO PROPRIETARIO*KM CERTIFICATI,"BMW Serie 1 116d
STUPENDA UNICO PROPRIETARIO*KM CERTIFICATI",https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2021-9ffc1dee34f8d2b3?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D24,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2021-9ffc1dee34f8d2b3?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D24, 23.950 €,76.000 km ,Aut. 8 marce ,"Feb, 2021",Diesel,Usata,85kW (116CV) ,,
Mercedes-Benz Classe A - 118 d SCR Msport Steptronic,"BMW Serie 1 118d
118 d SCR Msport Steptronic",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2024-18002e3cbd553c7e?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D24,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2024-18002e3cbd553c7e?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D24,"33.500 €
    
    
    

- 9% 30.500 €",13.540 km ,Aut. 8 marce ,"Mag, 2024",Diesel,Usata,110kW (150CV) ,,
Mercedes-Benz Classe A - d 5p. M Sport,"BMW Serie 1 M
d 5p. M Sport",https://autosupermarket.it/annunci/bmw-serie-1-m-benzina-2020-1e627bb0925da2ee?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D24,https://autosupermarket.it/annunci/bmw-serie-1-m-benzina-2020-1e627bb0925da2ee?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D24, 23.550 €,78.594 km ,Aut. ,"Lug, 2020",Benzina,Usata,,,
Mercedes-Benz Classe A - d 5p. Msport Automatica / Tetto Apribile,"BMW Serie 1 118d
d 5p. Msport Automatica / Tetto Apribile",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2024-4b7d161c4e595355?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D24,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2024-4b7d161c4e595355?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D24, 33.900 €,25.000 km ,Aut. 8 marce ,"Apr, 2024",Diesel,Usata,110kW (150CV) ,,
Mercedes-Benz Classe A -  - 128ti 5p. msport,BMW Serie 1 128ti  - 128ti 5p. msport,https://autosupermarket.it/annunci/bmw-serie-1-128ti-benzina-2023-0768a9a7e0f933d4?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D24,https://autosupermarket.it/annunci/bmw-serie-1-128ti-benzina-2023-0768a9a7e0f933d4?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D24,"33.500 €
    
    
    

- 2% 32.900 €",91.760 km ,Aut. 8 marce ,"Feb, 2023",Benzina,Usata,195kW (266CV) ,,
Mercedes-Benz Classe A - i 5p. Msport,"BMW Serie 1 118i
i 5p. Msport",https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2020-1b5d61b35ef1f9f6?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D24,https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2020-1b5d61b35ef1f9f6?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D24, 23.490 €,76.960 km ,Aut. 6 marce ,"Giu, 2020",Benzina,Usata,103kW (141CV) ,,
Mercedes-Benz Classe A - d 5p. Advantage,"BMW Serie 1 135i
d 5p. Advantage",https://autosupermarket.it/annunci/bmw-serie-1-135i-benzina-2023-e53e37feebf4114a?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D24,https://autosupermarket.it/annunci/bmw-serie-1-135i-benzina-2023-e53e37feebf4114a?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D24, 29.880 €,13.268 km ,Aut. ,"Dic, 2023",Benzina,Usata,,,
Mercedes-Benz Classe A - i 5p. Msport aut. #PackBlack,"BMW Serie 1 118i
i 5p. Msport aut. #PackBlack",https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2024-85af5162b9c7dce4?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D24,https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2024-85af5162b9c7dce4?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D24, 30.800 €,13.150 km ,Aut. 8 marce ,"Apr, 2024",Benzina,Usata,103kW (141CV) ,,
Mercedes-Benz Classe A - i 5p. Msport,"BMW Serie 1 M
i 5p. Msport",https://autosupermarket.it/annunci/bmw-serie-1-m-benzina-2023-a979a6db851f9b65?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D24,https://autosupermarket.it/annunci/bmw-serie-1-m-benzina-2023-a979a6db851f9b65?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D24,"33.950 €
    
    
    

- 3% 32.950 €",34.999 km ,Aut. 6 marce ,"Ott, 2023",Benzina,Usata,100kW (136CV) ,,
Mercedes-Benz Classe A - d 5p. Msport,"BMW Serie 1 118d
d 5p. Msport",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2022-fa63cf7f1e9d12a9?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D24,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2022-fa63cf7f1e9d12a9?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D24, 29.450 €,31.520 km ,Man. 6 marce ,"Lug, 2022",Diesel,Usata,110kW (150CV) ,,
